,code,name,lat,lng,u_s,u_r,return_perc
429,562,2838 WILSHIRE BLVD,34.04,-118.47,97473.0,1404.0,1.44
430,226,8283 S. Akron Street,39.57,-104.88,68411.0,988.0,1.44
431,130,1034 Commons Drive,41.89,-88.34,83997.0,1209.0,1.44
432,525,126 EAST EL CAMINO REAL,37.37,-122.03,69520.0,992.0,1.43
433,376,1315 Oak Forest Lane,33.71,-78.92,123523.0,1768.0,1.43
434,502,417 Universal Drive  North,41.36,-72.87,113231.0,1624.0,1.43
435,503,1590 North Clybourn Ave,41.91,-87.65,73152.0,1049.0,1.43
436,471,1601 Mt. Diablo Blvd,37.9,-122.06,27540.0,393.0,1.43
437,424,4600 Shelbyville Road,38.25,-85.63,86567.0,1239.0,1.43
438,747,551 SOUTHPARK BLVD,37.24,-77.39,76134.0,1092.0,1.43
439,620,6900 HOLLISTER AVE,34.43,-119.87,43333.0,619.0,1.43
440,402,1723 N University Drive,26.15,-80.26,132902.0,1891.0,1.42
441,434,6275 University Drive NW,34.75,-86.68,100200.0,1420.0,1.42
442,379,9815 Northlake Center Parkway,35.35,-80.86,109958.0,1560.0,1.42
443,452,8960 Hudson Road,44.94,-92.93,112627.0,1601.0,1.42
444,314,17602 La Cantera Parkway,29.59,-98.62,99475.0,1412.0,1.42
445,332,473 Route 211 East,41.46,-74.38,121181.0,1726.0,1.42
446,1015,2525 N RUBY STREET,47.68,-117.41,157187.0,2235.0,1.42
447,698,1490 S. HANLEY RD.,38.63,-90.33,62947.0,888.0,1.41
448,757,19723 HWY 59 N,30.0,-95.27,101121.0,1425.0,1.41
449,451,4000 N Cicero,41.95,-87.75,43593.0,616.0,1.41
450,124,2201 East Fowler Avenue,28.05,-82.43,69005.0,973.0,1.41
451,608,24280 VALENCIA BLVD,34.41,-118.56,134471.0,1902.0,1.41
452,241,12 4th Avenue,40.68,-73.98,144985.0,2045.0,1.41
453,187,1770-B Galleria Boulevard,35.96,-86.81,157963.0,2226.0,1.41
454,611,7000 PEACH STREET,42.06,-80.09,46934.0,660.0,1.41
455,653,4741 FIRESTONE BLVD,33.95,-118.19,83577.0,1180.0,1.41
456,551,6105 O STREET,40.81,-96.64,49930.0,705.0,1.41
457,743,2700 4th Street North,27.8,-82.64,104864.0,1483.0,1.41
458,779,2298 FOOTHILL BLVD,34.11,-117.76,62762.0,879.0,1.4
459,575,130 RTE 17 NORTH,40.83,-74.09,144376.0,2024.0,1.4
460,220,2543 Mayfair Road,43.07,-88.05,67301.0,945.0,1.4
461,90,3807 East Colonial Drive,28.55,-81.34,143308.0,2011.0,1.4
462,258,2500 S. Pleasant Valley Road,39.16,-78.18,106375.0,1489.0,1.4
463,1500,23 Leopard Rd (Rt 252),40.04,-75.49,29233.0,410.0,1.4
464,3,244 E 86th  Street,40.78,-73.95,100669.0,1410.0,1.4
465,263,2603 S. Rochester Road,42.64,-83.13,97839.0,1372.0,1.4
466,182,6147 Sunrise Boulevard,38.68,-121.27,98012.0,1373.0,1.4
467,54,1328 W. Patrick Street,39.42,-77.45,50776.0,710.0,1.4
468,68,1058 Baltimore Pike,39.91,-75.34,88275.0,1229.0,1.39
469,146,8600 West Golf Road,42.05,-87.84,101346.0,1410.0,1.39
470,274,3240 Monroe Avenue,43.1,-77.54,106231.0,1481.0,1.39
471,394,8820 W Charleston Blvd   #102 Pad J,36.16,-115.29,107708.0,1496.0,1.39
472,752,7670 WINCHESTER RD,35.05,-89.81,100086.0,1392.0,1.39
473,149,2641-A VISTA WAY,33.18,-117.33,112246.0,1555.0,1.39
474,167,7641 N. Blackstone Ave,36.85,-119.79,133806.0,1861.0,1.39
475,211,31945 Gratiot Avenue,42.53,-82.91,142067.0,1969.0,1.39
476,218,1495 West Pipeline Road,32.82,-97.2,142133.0,1978.0,1.39
477,449,4005 Nicholasville Road,37.98,-84.53,93952.0,1307.0,1.39
478,789,21901 EUREKA RD,42.2,-83.25,66554.0,924.0,1.39
479,527,5525 URBANA PIKE,39.38,-77.4,62618.0,868.0,1.39
480,372,1650 Rio Road East,38.08,-78.47,66117.0,922.0,1.39
481,745,116 W. TOWNSHIP LINE RD,39.97,-75.3,76579.0,1068.0,1.39
482,726,300 COMMERCE BLVD,41.0,-75.26,68657.0,946.0,1.38
483,1020,1154 ELLIOTT AVENUE W,47.63,-122.37,91848.0,1263.0,1.38
484,675,2350 SOUTHWEST MILITARY DR.,29.36,-98.53,62548.0,866.0,1.38
485,418,335 Newnan Crossing Bypass,33.39,-84.76,98159.0,1356.0,1.38
486,498,110 Albany Turnpike,41.82,-72.88,64874.0,893.0,1.38
487,700,2408 WEST MEMORIAL RD,35.61,-97.56,70294.0,968.0,1.38
488,501,4012 Eastgate Drive,28.49,-81.43,118055.0,1635.0,1.38
489,287,195 Dorset Street,44.46,-73.18,79081.0,1088.0,1.38
490,802,7040 S. RAINBOW BLVD.,0.0,0.0,80581.0,1111.0,1.38
491,456,1753 South Willow Street,42.95,-71.44,115109.0,1593.0,1.38
492,414,1070 Iyannough Road,41.67,-70.3,68522.0,942.0,1.37
493,765,905NW CHIPMAN RD,38.93,-94.4,50614.0,691.0,1.37
494,597,13714 W. BELL ROAD,33.64,-112.35,69945.0,955.0,1.37
495,556,7025 S LINDBERGH BLVD,38.51,-90.33,77915.0,1071.0,1.37
496,295,2657 N. Salisbury Blvd,38.41,-75.57,82737.0,1130.0,1.37
497,466,1740 S Val Vista Drive,33.38,-111.75,93741.0,1283.0,1.37
498,432,"190 East Stacy Road, Building 300",33.13,-96.66,96892.0,1327.0,1.37
499,163,1507 S LOOP 288,33.19,-97.09,69823.0,954.0,1.37
500,144,2301 Tyrone Boulevard,27.79,-82.73,119464.0,1642.0,1.37
501,679,1255 RARITAN RD,40.63,-74.31,131222.0,1803.0,1.37
502,621,4567 GARTH RD,29.77,-94.98,105068.0,1444.0,1.37
503,783,498 LANCASTER DRIVE NE,44.94,-122.98,58579.0,801.0,1.37
504,361,1507 Froom Ranch Way,35.25,-120.69,57285.0,787.0,1.37
505,213,12266 Jefferson Avenue,37.11,-76.5,135557.0,1852.0,1.37
506,548,1505 HILLARD ROME RD.,39.98,-83.15,99960.0,1368.0,1.37
507,788,1190 MAIN STREET,41.12,-81.48,53204.0,730.0,1.37
508,612,1300 N. TUSTIN AVENUE,33.81,-117.84,71448.0,973.0,1.36
509,602,61 ROSSANLY DR.,42.34,-122.88,69254.0,942.0,1.36
510,297,1775 Walden Ave,42.91,-78.77,83730.0,1140.0,1.36
511,493,6630 Mills Civic Pkwy,41.56,-93.8,56341.0,768.0,1.36
512,472,4803 Lincoln Highway,41.51,-87.73,75937.0,1032.0,1.36
513,369,46-047 Kamehameha Highway,21.42,-157.8,105702.0,1436.0,1.36
514,655,3719 BOSTON ST,39.28,-76.56,62486.0,848.0,1.36
515,749,4839 C CALHOUN MEMORIAL HWY US 123,34.83,-82.56,61318.0,832.0,1.36
516,641,6005 S. LAGRANGE RD,41.78,-87.87,67876.0,923.0,1.36
517,312,7708 W Bell Road,33.64,-112.23,91087.0,1242.0,1.36
518,429,6921 West Newberry Road,29.66,-82.42,103925.0,1404.0,1.35
519,420,1780 Striling Road,26.05,-80.16,128063.0,1725.0,1.35
520,315,1370 Polaris Parkway,40.14,-82.98,75005.0,1013.0,1.35
521,249,2711 NW Towne Center Drive,45.54,-122.87,71190.0,963.0,1.35
522,1006,1300 ELLIS STREET,48.75,-122.47,58639.0,789.0,1.35
523,647,1803 N. LOOP 1604 E.,29.61,-98.47,61141.0,826.0,1.35
524,389,5425 SOUTH PADRE ISLAND DRIVE,27.71,-97.37,89065.0,1200.0,1.35
525,221,415 Loucks Road,39.98,-76.74,86038.0,1160.0,1.35
526,12,1193 3rd Avenue,40.77,-73.96,68573.0,923.0,1.35
527,844,5546 HIGHWAY 153,0.0,0.0,46217.0,618.0,1.34
528,625,1205 HERNDON AVE,36.84,-119.7,103576.0,1387.0,1.34
529,199,2701 SW College Rd,29.17,-82.17,135759.0,1821.0,1.34
530,507,4750 Valley View Blvd NW,37.31,-79.96,54710.0,735.0,1.34
531,204,19716 Katy Freeway,29.79,-95.72,152612.0,2043.0,1.34
532,604,1987 COUNTY ROAD D,45.04,-93.02,68490.0,921.0,1.34
533,763,435 WINTHROP AVENUE,0.0,0.0,57197.0,758.0,1.33
534,393,6150 E Lake Sammamish Pkwy,47.55,-122.04,60415.0,803.0,1.33
535,373,4601-4605 Illinois Road,41.07,-85.2,95665.0,1271.0,1.33
536,489,2 Shipyard Drive,42.25,-70.92,60688.0,808.0,1.33
537,419,800 E. Merritt Island Causeway,28.36,-80.68,73720.0,982.0,1.33
538,617,1200 EL CAMINO REAL,37.48,-122.23,80756.0,1071.0,1.33
539,677,238 ROBERT C. DANIEL JR PKWY,33.49,-82.08,88233.0,1174.0,1.33
540,1021,5902 6TH AVENUE,47.26,-122.52,148879.0,1984.0,1.33
541,1012,4031 COLBY AVENUE,47.96,-122.21,177190.0,2355.0,1.33
542,836,6455 CARLISLE PK,40.25,-77.01,48485.0,645.0,1.33
543,626,1400 SOUTH WASHINGTON STREET,41.94,-71.35,58270.0,773.0,1.33
544,521,9950 WATERSTONE BLVD,39.29,-84.31,73089.0,974.0,1.33
545,512,311 East Fordham Rd,40.86,-73.89,81482.0,1085.0,1.33
546,205,15455 Bluemound Round,43.04,-88.11,70299.0,932.0,1.33
547,331,108 Wolf Road,42.72,-73.81,106985.0,1424.0,1.33
548,459,237 1st Avenue,40.73,-73.98,74641.0,987.0,1.32
549,864,15126 MAX LEGGET PARKWAY,0.0,0.0,68250.0,902.0,1.32
550,815,5449 SUNSET BLVD,34.0,-81.22,69393.0,913.0,1.32
551,207,5555 Whittlesey Boulevard,32.55,-84.95,149468.0,1970.0,1.32
552,2,2086-A Broadway,40.78,-73.98,137095.0,1813.0,1.32
553,473,2705 N. Elston Ave,41.93,-87.69,85010.0,1124.0,1.32
554,293,5055 Monroe Street,41.7,-83.64,131372.0,1726.0,1.31
555,280,4935 Magazine Street,29.92,-90.11,55727.0,731.0,1.31
556,209,5425 Greenville Avenue,32.85,-96.77,169425.0,2212.0,1.31
557,448,2405 Miamisburg-Centerville,39.63,-84.21,65358.0,855.0,1.31
558,457,11963 S Blackbob Road,38.91,-94.76,74091.0,972.0,1.31
559,384,7066 Mineral Point Road,43.06,-89.51,24775.0,325.0,1.31
560,214,7515 West Layton Avenue,42.96,-88.01,112324.0,1455.0,1.3
561,738,4875 BAY RD,43.48,-83.98,62880.0,820.0,1.3
562,584,472 HAMLINE AVE NORTH,44.96,-93.16,53385.0,694.0,1.3
563,279,4009 S Mooney Blvd,36.29,-119.31,146973.0,1908.0,1.3
564,673,1974 N. MAIN STREET,36.72,-121.66,82423.0,1071.0,1.3
565,520,1509 W.O EZELL Blvd,34.94,-81.99,97496.0,1272.0,1.3
566,632,20580 HAGGERTY ROAD,42.44,-83.44,51359.0,668.0,1.3
567,572,1777 West County Road B2,45.01,-93.18,91648.0,1189.0,1.3
568,623,3862 DRYLAND WAY,40.71,-75.28,78780.0,1027.0,1.3
569,1022,403 W NEIDER AVENUE,47.71,-116.79,139486.0,1811.0,1.3
570,179,27310 Lugonia Avenue,34.07,-117.21,149660.0,1933.0,1.29
571,311,3100 NW 14th Street,38.93,-77.03,49877.0,644.0,1.29
572,262,2130 North Beltline Blvd,34.02,-80.99,96570.0,1246.0,1.29
573,134,2300 Wrangleboro Road,39.45,-74.63,124162.0,1597.0,1.29
574,686,4302 EAST MCCAIN BLVD,34.79,-92.22,76750.0,993.0,1.29
575,200,2369 Highway 70 SE,35.7,-81.29,112344.0,1445.0,1.29
576,299,3801 Pelandale Ave,37.7,-121.06,115658.0,1488.0,1.29
577,422,3388 River Rapids Drive,45.2,-93.36,142899.0,1837.0,1.29
578,474,4480 KAPOLEI PKWAY,21.33,-158.09,128227.0,1636.0,1.28
579,486,20273 Route 19,40.69,-80.1,85568.0,1097.0,1.28
580,601,2802 SW PLAZA DRIVE,39.76,-89.71,71164.0,909.0,1.28
581,272,4275 N. Harlem Avenue,41.96,-87.81,123665.0,1581.0,1.28
582,362,98-199 Kamehameha Highway,21.38,-157.94,128067.0,1643.0,1.28
583,217,439 Boardman Poland Road,41.02,-80.65,105427.0,1351.0,1.28
584,819,6447 GRAND AVENUE,0.0,0.0,71498.0,915.0,1.28
585,629,27820 CHAGRIN BLVD,41.46,-81.48,64905.0,833.0,1.28
586,559,1315 CHURN CREEK RD,40.59,-122.35,99878.0,1270.0,1.27
587,480,3912 Oleander Drive,34.21,-77.9,103964.0,1318.0,1.27
588,500,1510 SE Everett Mall Way,47.91,-122.21,113734.0,1441.0,1.27
589,399,3324 N. Main Street,34.54,-82.67,88116.0,1118.0,1.27
590,496,4850 McKnight Road,40.53,-80.01,55831.0,707.0,1.27
591,460,8948 NW Skyview Ave,39.26,-94.66,83702.0,1063.0,1.27
592,9,2478 Broadway,40.79,-73.97,77494.0,982.0,1.27
593,630,3734 FALLON RD,37.7,-121.85,68113.0,865.0,1.27
594,854,17887 Southpark Center,0.0,0.0,61834.0,786.0,1.27
595,733,5924 W SAGINAW HWY,42.74,-84.63,38637.0,489.0,1.27
596,487,701 SE Greenville Blvd,35.59,-77.37,153132.0,1946.0,1.27
597,230,719 Highway 67 N,32.6,-96.94,141729.0,1794.0,1.27
598,177,3150 Stevens Creek Boulevard,37.32,-121.95,116812.0,1489.0,1.27
599,141,2021 Gun Barrel Road,35.03,-85.15,89262.0,1132.0,1.27
600,145,1243 Torrence Ave,41.6,-87.56,125540.0,1584.0,1.26
601,156,3111 Sports Arena Blvd,32.75,-117.21,107083.0,1354.0,1.26
602,123,815 Cog Circle,42.23,-88.29,102703.0,1293.0,1.26
603,183,5500 Grossmont Center Drive,32.78,-117.01,117412.0,1477.0,1.26
604,345,7833 Kingston Pike,35.93,-84.04,97699.0,1231.0,1.26
605,580,3404/06 SOUTH 144TH STREET,41.23,-96.14,62864.0,795.0,1.26
606,117,26532 Lorrain Road,41.42,-81.92,108482.0,1365.0,1.26
607,342,274 Daniel Webster Highway,42.71,-71.44,113039.0,1425.0,1.26
608,634,3975 CAMINO DE LA PLAZA,32.54,-117.05,50408.0,635.0,1.26
609,583,291 SOUTH BROADWAY,42.76,-71.21,99623.0,1243.0,1.25
610,435,1003 West University,30.63,-97.69,94926.0,1189.0,1.25
611,465,10979 East US Highway 36,39.76,-86.33,78794.0,985.0,1.25
612,522,2734 RT. 34,41.7,-88.31,53527.0,668.0,1.25
613,536,335 MAINE MALL ROAD,43.64,-70.34,66230.0,831.0,1.25
614,762,103 ELM STREET,42.0,-72.58,72165.0,901.0,1.25
615,385,5234 State Road 100,29.48,-81.22,82575.0,1029.0,1.25
616,470,1513 First Ave,40.77,-73.95,63731.0,794.0,1.25
617,693,4015 VETERANS MEMORIAL BLVD,30.0,-90.18,118281.0,1480.0,1.25
618,546,1141 N. DUPPONT HIGHWAY,39.19,-75.54,88493.0,1101.0,1.24
619,566,7749 DAY DRIVE,41.38,-81.74,75935.0,945.0,1.24
620,235,3730 East 82nd Street,39.91,-86.1,94137.0,1172.0,1.24
621,1005,6806 NE 175TH STREET,47.76,-122.25,113793.0,1415.0,1.24
622,616,8889 GATEWAY,31.77,-106.37,87192.0,1084.0,1.24
623,688,103 A COMMERCE WAY,42.52,-71.14,57326.0,711.0,1.24
624,463,33470 US Hwy 19,28.08,-82.74,85957.0,1062.0,1.24
625,426,9390 Six Mile Cypress Pkwy,26.61,-81.81,82071.0,1014.0,1.24
626,238,300 John R. Road,42.54,-83.11,105242.0,1307.0,1.24
627,160,5075 Morganton Road,35.07,-78.96,181092.0,2242.0,1.24
628,164,2225 Gallatin Pike North,36.31,-86.69,140477.0,1721.0,1.23
629,268,3970 Baldwin Road,42.7,-83.31,80165.0,983.0,1.23
630,148,4860 Telephone Road,34.26,-119.23,130410.0,1598.0,1.23
631,531,631a W. BALTIMORE BLVD,39.56,-76.97,93055.0,1141.0,1.23
632,377,3919 Wards Road,37.35,-79.18,99592.0,1228.0,1.23
633,782,280 MUNDY STREET,41.24,-75.85,80891.0,998.0,1.23
634,806,230 N. NELLIS BLVD,36.16,-115.06,56821.0,693.0,1.22
635,406,1217 RTE 300,41.5,-74.07,108879.0,1331.0,1.22
636,833,240 LOUDON ROAD,43.22,-71.49,35829.0,437.0,1.22
637,190,6965 Camino Arroyo Circle,37.0,-121.55,84383.0,1033.0,1.22
638,411,6230 Long Pririe Road,33.07,-97.08,75981.0,924.0,1.22
639,119,5125 Jonestown Road,40.31,-76.8,88581.0,1076.0,1.21
640,676,4672 S SCATTERFIELD RD,40.07,-85.65,40373.0,489.0,1.21
641,669,2807 WILMA RUDOLPH BLVD,36.59,-87.29,121091.0,1460.0,1.21
642,589,3801 S STEELE STREET,47.22,-122.47,61950.0,749.0,1.21
643,168,18661 LBJ Freeway,32.8,-96.63,141562.0,1710.0,1.21
644,643,3831 EDWARDS RD,39.15,-84.44,74360.0,902.0,1.21
645,537,1350 WINSTON PLAZA,41.91,-87.85,75961.0,921.0,1.21
646,506,3659 Airport Blvd,30.68,-88.13,100379.0,1207.0,1.2
647,637,950 COUNTY ROAD 64,42.15,-76.87,76290.0,916.0,1.2
648,734,2090 W. GRAND RIVER AVE,42.72,-84.43,31733.0,381.0,1.2
649,1014,6630 E SPRAGUE AVENUE,47.66,-117.32,118812.0,1423.0,1.2
650,481,3301 SW 22nd Street,25.75,-80.25,149078.0,1791.0,1.2
651,392,1348 Java Lane,36.07,-79.52,103747.0,1232.0,1.19
652,1018,3324 WHEATON WAY,47.59,-122.63,73271.0,870.0,1.19
653,1019,5200 W CLEARWATER AVENUE,46.21,-119.19,115896.0,1377.0,1.19
654,526,3904 HILLSBORO ROAD,36.11,-86.81,107238.0,1277.0,1.19
655,400,74-5452 Makala Blvd,19.65,-156.0,164059.0,1957.0,1.19
656,70,2365 MacArthur Road,40.64,-75.49,89110.0,1061.0,1.19
657,528,655 SUNLAND Park Dr.,31.82,-106.54,68104.0,812.0,1.19
658,761,3660 CENTRAL AVE,33.95,-117.39,90220.0,1074.0,1.19
659,741,2229 NORTH 2ND ST,39.43,-75.04,67525.0,806.0,1.19
660,544,719 SOUTH MEADOW DRIVE,42.43,-76.51,45044.0,533.0,1.18
661,270,23051 Outer Drive,42.28,-83.21,107636.0,1273.0,1.18
662,581,201 EAST CENTRAL TEXAS EXPRESSWAY,31.07,-97.66,89828.0,1060.0,1.18
663,338,4359 West Wisconsin Avenue,44.27,-88.47,55031.0,644.0,1.17
664,858,8533 W GRAND RIVER AVE,42.54,-83.79,50476.0,593.0,1.17
665,478,6278 South Westnedge Ave,42.23,-85.59,76680.0,895.0,1.17
666,147,4333 Everhard Road,40.86,-81.43,138466.0,1622.0,1.17
667,62,268 Washington Street,42.36,-71.06,71165.0,829.0,1.16
668,475,17820 E 39th Street South,39.05,-94.37,67091.0,781.0,1.16
669,387,5531 NW Loop 1604,29.49,-98.71,87722.0,1019.0,1.16
