code,name,lat,lng,art,concert,dance,film,theater,other
02M630,Art and Design High School,40.759213,-73.966183,12,0,0,4,12,3
02M896,Lower Manhattan Community Middle School,40.705442,-74.012888,5,5,5,6,0,0
03M009,P.S. 009 Sarah Anderson,40.785091,-73.973866,1,6,1,0,0,0
03M054,J.H.S. 054 Booker T. Washington,40.800468,-73.962662,2,6,0,12,10,0
03M076,P.S. 076 A. Philip Randolph,40.806501,-73.951137,2,1,1,2,2,0
03M084,P.S. 084 Lillian Weber,40.789437,-73.968081,10,5,1,0,1,0
03M087,P.S. 087 William Sherman,40.781885,-73.977907,1,30,20,0,30,10
03M145,"P.S. 145, The Bloomingdale School",40.799078,-73.965096,1,2,3,1,1,0
03M163,P.S. 163 Alfred E. Smith,40.794889,-73.968448,0,0,2,1,1,0
03M165,P.S. 165 Robert E. Simon,40.802647,-73.96606,5,5,5,10,5,0
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,40.788883,-73.972455,1,2,4,0,2,0
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,40.798495,-73.949849,2,1,3,1,2,0
03M191,The Riverside School for Makers and Artists,40.773257,-73.990553,2,4,3,2,1,0
03M199,P.S. 199 Jessie Isador Straus,40.777622,-73.984564,0,6,3,0,2,0
03M208,The Alain L. Locke Magnet School for Environmental Stewardship,40.798341,-73.950453,1,0,1,0,1,1
03M241,STEM Institute of Manhattan,40.801672,-73.955407,0,0,1,0,2,0
03M242,P.S. 242 - The Young Diplomats Magnet Academy,40.806316,-73.948749,2,2,1,0,1,0
03M243,M.S. 243 Center School,40.785091,-73.973866,6,0,3,3,3,0
03M245,M.S. M245 The Computer School,40.780933,-73.977723,1,2,1,0,1,0
03M247,M.S. M247 Dual Language Middle School,40.780933,-73.977723,3,0,3,0,0,0
03M256,Lafayette Academy,40.791357,-73.971071,0,3,3,5,1,0
03M258,Community Action School - MS 258,40.791357,-73.971071,1,0,0,0,0,0
03M291,West End Secondary School,40.772487,-73.988153,3,3,3,2,3,0
03M299,The Maxine Greene HS for Imaginative Inquiry,40.774846,-73.985666,1,1,0,0,2,0
03M307,"Urban Assembly School for Media Studies, The",40.774846,-73.985666,2,0,2,0,2,0
03M333,P.S. 333 Manhattan School for Children,40.791357,-73.971071,1,6,15,1,20,0
03M334,The Anderson School,40.780933,-73.977723,18,10,5,14,8,0
03M402,The Urban Assembly School for Green Careers,40.786011,-73.974096,1,1,0,1,0,0
03M403,The Global Learning Collaborative,40.786011,-73.974096,0,0,0,1,0,0
03M404,Innovation Diploma Plus,40.786011,-73.974096,1,0,0,2,2,0
03M415,Wadleigh Secondary School for the Performing & Visual Arts,40.802284,-73.95408,4,5,4,1,2,1
03M417,Frank Mccourt High School,40.786011,-73.974096,3,0,2,1,1,0
03M421,West Prep Academy,40.799078,-73.965096,3,3,4,1,1,1
03M452,P.S. 452,40.771912,-73.987684,5,15,15,20,20,3
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,40.774133,-73.985804,15,30,5,1,15,0
03M492,"High School for Law, Advocacy and Community Justice",40.774846,-73.985666,0,1,0,0,0,0
03M494,High School of Arts and Technology,40.774846,-73.985666,4,0,0,0,0,0
03M505,Edward A. Reynolds West Side High School,40.797135,-73.966887,1,2,1,1,1,0
03M541,Manhattan / Hunter Science High School,40.774846,-73.985666,0,0,0,0,0,0
03M859,Special Music School,40.775256,-73.98298,1,25,0,0,0,0
03M860,Frederick Douglass Academy II Secondary School,40.802284,-73.95408,1,0,2,0,2,0
03M862,Mott Hall II,40.802647,-73.96606,0,3,2,0,2,3
04M007,P.S. 007 Samuel Stern,40.800773,-73.939335,0,2,2,0,1,0
04M012,Tag Young Scholars,40.792727,-73.942136,1,4,0,4,1,0
04M038,P.S. 38 Roberto Clemente,40.788678,-73.944845,10,0,5,1,0,0
04M057,James Weldon Johnson,40.797269,-73.941263,0,2,2,0,1,0
04M072,The Lexington Academy,40.791435,-73.947417,3,1,0,0,1,0
04M083,P.S. 083 Luis Munoz Rivera,40.79313,-73.941812,2,4,2,0,3,0
04M096,P.S. 096 Joseph Lanzetta,40.800081,-73.937366,4,5,4,6,4,0
04M102,P.S. 102 Jacques Cartier,40.794922,-73.938324,1,1,2,0,1,0
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,40.795125,-73.947876,0,2,0,0,0,0
04M155,P.S. 155 William Paca,40.797571,-73.936074,0,0,2,0,1,0
04M171,P.S. 171 Patrick Henry,40.792318,-73.951458,1,4,2,10,2,0
04M182,The Bilingual Bicultural School,40.79313,-73.941812,0,10,3,1,3,0
04M372,Esperanza Preparatory Academy,40.792727,-73.942136,2,3,3,2,0,0
04M375,Mosaic Preparatory Academy,40.795902,-73.944662,6,3,3,3,4,0
04M377,Renaissance School of the Arts,40.797571,-73.936074,8,6,6,2,5,0
04M406,Global Technology Preparatory,40.800773,-73.939335,0,1,0,0,1,0
04M409,Coalition School for Social Change,40.799262,-73.93387,0,0,2,3,0,0
04M435,Manhattan Center for Science and Mathematics,40.794167,-73.932694,2,2,0,1,4,0
04M495,Park East High School,40.790331,-73.944065,3,3,0,6,4,0
04M497,Central Park East I,40.793687,-73.948611,2,2,0,0,0,0
04M555,Central Park East High School,40.793687,-73.948611,1,1,2,10,4,0
04M610,Young Women's Leadership School,40.792935,-73.947168,2,2,2,0,0,0
04M680,"Heritage School, The",40.791896,-73.946866,2,2,2,3,3,0
04M825,Isaac Newton Middle School for Math & Science,40.794167,-73.932694,3,0,0,0,2,1
04M964,Central Park East II,40.792318,-73.951458,4,8,3,2,0,0
05M030,P.S. 030 Hernandez/Hughes,40.805654,-73.93546,0,0,3,0,1,0
05M036,P.S. 036 Margaret Douglas,40.810705,-73.957404,2,3,0,0,2,0
05M046,P.S. 046 Arthur Tappan,40.831647,-73.936074,2,2,2,1,2,0
05M092,P.S. 092 Mary McLeod Bethune,40.814584,-73.944991,2,0,0,3,0,0
05M123,P.S. 123 Mahalia Jackson,40.820337,-73.94434,2,2,3,0,1,0
